m_million_key,m_opendb_key,m_flag,million_id,million_Artist,million_Track,million_Album,million_Track_Explicitness,million_Album_Year,million_Duration,opendb_id,opendb_Artist,opendb_Track,opendb_Album,opendb_Track_Explicitness,opendb_Album_Year,opendb_Duration
C15557,B46142,True,C15557,Ennio Morricone,"The Good, the Bad and the Ugly",,,2009,165400,B46142,John Morgan Orquesta,"The Good, The Bad, And The Ugly",El Cine Del Oeste,notExplicit,2006,181000
C33055,B57494,False,C33055,Billy Currington,Must Be Doin' Somethin' Right,,,2013,271093,B57494,The Knickerbockers,I Must Be Doing Something Right,The Hits - Volume 1 & Volume 2,notExplicit,2008,160000
C33312,B8244,True,C33312,Johnny Cash,If I Were A Carpenter,,,2011,138013,B8244,Jody Miller,If You Were A Carpenter,The Best Of Jody Miller,notExplicit,2016,143000
C42410,B18020,False,C42410,The Kills,I Hate the Way You Love,,,2005,217946,B18020,Betty Wright,I Love the Way You Love,Clean up Woman,notExplicit,2017,182000
C14828,B24436,False,C14828,Taio Cruz,I'll Never Love Again,,,2010,229638,B24436,Na Hoon-A,I Will Never Love Again,Na Hoon-A Cabaret Dance Party Vol. 1,notExplicit,1998,155000
C36180,B28484,True,C36180,The Paris Sisters,I Love How You Love Me,,,2013,126458,B28484,Anthony Quinn,"I Love You, You Love Me",In My Own Way.. I Love You,notExplicit,2011,152000
C6761,B28728,False,C6761,Carole King,I Feel the Earth Move,,,1978,180733,B28728,ApologetiX,I Feel the Earth Proves,Very Vicarious,notExplicit,2017,180000
C36180,B32580,False,C36180,The Paris Sisters,I Love How You Love Me,,,2013,126458,B32580,The Temprees,"I Love You, You Love Me",Dedicated To The One I Love,notExplicit,1994,242000
C10070,B32858,False,C10070,Bon Jovi,I'll Be There For You,,,1988,346573,B32858,Jessica Andrews,I Will Be There For You,Heart Shaped World,notExplicit,1999,203000
C19421,B49749,False,C19421,God Forbid,The End of the World,,,2005,369066,B49749,Lars Jansson Trio,To the End of the World,Green Moss Black Sand,notExplicit,2017,396000
C42691,B51081,False,C42691,Dragonland,To The End Of The World,,,2004,280973,B51081,Johnny Reid,To The End Of The Road,Kicking Stones,notExplicit,2007,175000
C25630,B67043,True,C25630,Spiritualized,Get What You Deserve,,,2012,406986,B67043,Pleasure Venom,We Get What You Deserve,We Get What You Deserve,Explicit,2021,134000
C13868,B74557,True,C13868,Patti Smith,Gloria: In Excelsis Deo,,,1975,421000,B74557,Amsterdam Baroque Orchestra,Gloria in excelsis Deo,Kerstspel,notExplicit,2017,123000
C20855,B78528,True,C20855,The Temptations,I Wish It Would Rain,,,2008,165746,B78528,Susan McCann,I Wish It Would It Rain,After All This Time,notExplicit,2024,187000
C23039,B78591,True,C23039,Mike Doughty,Looking At The World From The Bottom Of A Well,,,2012,270346,B78591,Mike Doughty,Looking at the World from the Bottom of a Well,The Question Jar Show,notExplicit,2012,271000
C13868,B78894,True,C13868,Patti Smith,Gloria: In Excelsis Deo,,,1975,421000,B78894,Monteverdi Choir,Gloria in excelsis Deo,"Once, as I remember...",notExplicit,1998,127000
C37613,B79009,True,C37613,Pearl Jam,All Those Yesterdays,,,1998,460853,B79009,Ernest Tubb,All of Those Yesterdays,The Legend and the Legacy,notExplicit,2022,156000
C13868,B82853,True,C13868,Patti Smith,Gloria: In Excelsis Deo,,,1975,421000,B82853,Ensemble Organum,Gloria in excelsis Deo,Chant Corse (Manuscrits Franciscains),notExplicit,1993,225000
C32012,B90181,True,C32012,George Harrison,Behind That Locked Door,,,2012,209066,B90181,Dennis Farnon,Behind the Locked Door,Kpm 1000 Series: A Fear of the Dark,notExplicit,1979,183000
C9981,B96381,False,C9981,Nina Simone,You'll Never Walk Alone,,,2013,227333,B96381,Atli Örvarsson,You'll Never Fly Alone,"Ploey, You Never Fly Alone (Original Motion Picture Soundtrack) (L'envol de Ploé)",notExplicit,2018,185000
C875,B493,False,C875,Jack Johnson,Do You Remember,,,2005,144013,B493,Night Shop,If You Remember,In the Break,notExplicit,2018,209000
C42148,B1091,False,C42148,Idle Sons,Little Bit Less,,,2006,209706,B1091,lisawanderlust,Little Bit Lost,Little Bit Lost,notExplicit,2023,127000
C17092,B1372,True,C17092,Britney Spears,Heaven on Earth,,,2007,292693,B1372,Ebonie Gipson & the Imagine Nation Band,Heaven to Earth,I'm Building Something (The Mixtape),notExplicit,2016,405000
C16836,B1880,False,C16836,Nick Cave & The Bad Seeds,Do You Love Me?,,,2012,354826,B1880,Baby.com,Do You Like Me?,Tick Tock,Explicit,2019,145000
C27664,B2421,False,C27664,Isaiah Rashad,Heavenly Father,,,2014,260632,B2421,Pip Millett,Heavenly Mother,Lost In June - EP,Explicit,2020,240000
C39768,B2757,False,C39768,Ulver,We Are the Dead,,,2000,220986,B2757,Daemus Moon,We Are the Beat,Magnum,notExplicit,2019,137000
C35061,B3057,False,C35061,All Time Low,Forget About It,,,2016,176506,B3057,Trevor Jackson,Forget About Me,It's Complicated,Explicit,2024,177000
C7721,B3152,True,C7721,Iron Maiden,Heaven Can Wait,,,1986,440800,B3152,Luciano Pavarotti,Heaven can wait,Pavarotti & Friends Together For The Children Of Bosnia,notExplicit,2007,322000
C17118,B4040,False,C17118,Patrice Rushen,Forget Me Nots,,,2013,283080,B4040,HONNE,Forget Me Not ◐,Love Me / Love Me Not,notExplicit,2018,174000
C1647,B4605,False,C1647,Hinder,Better Than Me,,,2007,222426,B4605,Tyrese,Better Than Sex,Alter Ego,notExplicit,2006,266000
C17308,B7077,True,C17308,Jamiroquai,You Are My Love,,,1993,233600,B7077,Gabriel Antonio,You're My Love,All Night Long,notExplicit,2020,270000
C35061,B7766,False,C35061,All Time Low,Forget About It,,,2016,176506,B7766,Buunshin,Forget About Me,Forget About Me,notExplicit,2022,187000
C642,B7825,False,C642,R.E.M.,Man on the Moon,,,2014,307106,B7825,Keith Mansfield,Man on the Move,The Kpm 1000 Series - Volume 2,notExplicit,2006,152000
C33287,B8112,False,C33287,Clint Black,Like The Rain,,,2003,261066,B8112,Tiffany,I Like The Rain,Shadows,notExplicit,2022,199000
C17308,B8984,True,C17308,Jamiroquai,You Are My Love,,,1993,233600,B8984,Choi Sung Soo,You're My Love,Choi Sung Soo Vol. 7,notExplicit,1997,229000
C25308,B10745,True,C25308,Foxygen,In The Darkness,,,2013,119986,B10745,"""Tito"" De Gracia Y Su Naoka Jam",In the Darknes,Atmosphere,notExplicit,2007,33000
C21049,B10774,False,C21049,Brownstone,If You Love Me,,,1998,298773,B10774,Jars of Clay,If You Love Her,20,notExplicit,2014,244000
C29433,B10907,False,C29433,Kaskade,I Like The Way,,,2008,220106,B10907,Savella,I Like This Way,Learning to Feel,notExplicit,2023,172000
C6310,B11071,True,C6310,Madonna,Into the Groove,,,2014,242195,B11071,Roberto Restuccia,In the Groove,Exposure,notExplicit,2016,189000
C32617,B6128,False,C32617,The Beach Boys,You're So Good to Me,,,2012,135800,B6128,Giorgio Gee,You're No Good for Me,You're No Good for Me,notExplicit,2021,126000
C7718,B6626,False,C7718,Iron Maiden,Killers,,,1981,301800,B6626,Mini Thin,Killerz,White Trash Inc. Mixtape,Explicit,2016,242000
C20500,B6685,False,C20500,Avenged Sevenfold,Planets,,,2013,356306,B6685,Pan-Pot,Planet9,Keid,notExplicit,2020,467000
C30125,B7018,False,C30125,Bob Marley & The Wailers,Africa Unite,,,2002,175133,B7018,Luciano,Africans Unite,Luciano Selects Reggae,notExplicit,2019,266000
C39452,B7064,False,C39452,Stereophonics,You're My Star,,,2008,269880,B7064,Skeletonprince,You're a Star,You're a Star,notExplicit,2022,149000
C43429,B7204,False,C43429,Adema,Do You Hear Me,,,2003,206706,B7204,Ghinzu,Do You Read Me,Blow,notExplicit,2004,258000
C20500,B7227,False,C20500,Avenged Sevenfold,Planets,,,2013,356306,B7227,Wesome,Planeta,Planeta,Explicit,2019,165000
C36393,B7332,True,C36393,The Coral,In The Forest,,,2003,159853,B7332,Jo Jones,In the Forrest,They Can't Take That Away from Me,notExplicit,2018,160000
C1677,B7345,False,C1677,Santana,Smooth,,,1999,243026,B7345,Nu Jazz,Smoothe,"Cool, Acid & Nu Jazz – Jazz Music for Dinner Party, Cocktails and Drinks",notExplicit,2016,344000
C28396,B7770,True,C28396,The Waitresses,I Know What Boys Like,,,2009,191213,B7770,Dan Baird,I Know What It's Like,Dan Baird and Homemade Sin,notExplicit,2008,322000
C6565,B657,True,C6565,Ed Sheeran,Galway Girl,,,2017,170826,B657,The Punters,Galway Girl,Certified Trad Music,notExplicit,2010,183000
C560,B658,True,C560,Kings of Leon,I Want You,,,2008,307453,B658,Third Eye Blind,I Want You,The Third Eye Blind Collection,notExplicit,2013,270000
C16987,B660,True,C16987,The Contours,Do You Love Me,,,2014,174173,B660,The Jets,Do You Love Me,Classic Collection,notExplicit,1999,166000
C31,B668,True,C31,The Cranberries,Zombie,,,2007,307400,B668,Floral Bugs,Zombie,Nowa Sztuka,Explicit,2020,234000
C2182,B670,True,C2182,Britney Spears,Circus,,,2009,191973,B670,Deep House,Circus,Tropical Sunset,notExplicit,2022,162000
C1973,B679,True,C1973,Elvis Presley,In the Ghetto,,,2013,177266,B679,Johnny Lee,In the Ghetto,Johnny Lee,notExplicit,2023,141000
C47202,B686,True,C47202,Trentemøller,African People,,,2009,403506,B686,Skin Flesh & Bones,African People,Fighting Dub,notExplicit,1975,186000
C15203,B691,True,C15203,Shinedown,If You Only Knew,,,2008,226640,B691,Sophie Chassée,If You Only Knew,Lesson Learned,notExplicit,2021,320000
C27878,B693,True,C27878,Isaac Hayes,By the Time I Get to Phoenix,,,1995,414733,B693,Roger Miller,By the Time I Get to Phoenix,Gentle on My Mind,notExplicit,2012,152000
C23668,B701,True,C23668,Chris Rea,On the Beach,,,1988,410560,B701,Smooth Jazz Music Club,On the Beach,15 Best Trumpet Melodies - Brilliant Variations of Instrumental Jazz for Special Occasion,notExplicit,2020,180000
C7718,B704,True,C7718,Iron Maiden,Killers,,,1981,301800,B704,Defiance,Killers,Void Terra Firma,notExplicit,1990,283000
C5975,B707,True,C5975,She & Him,In the Sun,,,2010,173693,B707,Joseph Arthur,In the Sun,Come to Where I'm From (Real World Gold),notExplicit,2000,337000
C157,B708,True,C157,Foo Fighters,All My Life,,,2009,263560,B708,Victor J Sefo,All My Life,All My Life,notExplicit,2019,192000
C32613,B715,True,C32613,Johnny Burnette,You're Sixteen,,,2011,119666,B715,The Studio Group,You're Sixteen,Valentine's Ballads of the 70's,notExplicit,2013,136000
C21180,B718,True,C21180,D'Angelo,Africa,,,2000,373640,B718,African China,Africa,"African China: The Hits, Vol.2",notExplicit,2020,317000
C2904,B719,True,C2904,Alice Deejay,Better Off Alone,,,2014,215246,B719,Kai Wachi,Better Off Alone,SKINS,notExplicit,2022,292000
C3627,B723,True,C3627,Cut Copy,Future,,,2004,312040,B723,Lizette Lizette,Future,Queerbody,notExplicit,2018,223000
C3708,B732,True,C3708,Olive,You're Not Alone,,,2013,260000,B732,DJ BoBo,You're Not Alone,Evolut30n (Evolution),notExplicit,2022,191000
C2129,B736,True,C2129,The Prodigy,Breathe,,,1997,334800,B736,The Silver,Breathe,Ward of Roses,notExplicit,2021,302000
C151,B738,True,C151,Jack Johnson,Better Together,,,2006,207693,B738,Acoustic Heartstrings,Better Together,Acoustic Guitar Renditions of Jack Johnson,notExplicit,2018,245000
C20705,B741,True,C20705,Sly & The Family Stone,Family Affair,,,2013,183333,B741,Lo Cutz,Family Affair,Family Affair,notExplicit,2021,170000
C6180,B742,True,C6180,Sade,Smooth Operator,,,1995,297800,B742,Parris Chariz,Smooth Operator,2045,notExplicit,2020,164000
C6180,B747,True,C6180,Sade,Smooth Operator,,,1995,297800,B747,Luke Madness,Smooth Operator,Smooth Operator,notExplicit,2023,157000
C2982,B748,True,C2982,Death from Above 1979,Little Girl,,,2014,240080,B748,Cleavage,Little Girl,15 Gets Ya 20,notExplicit,2013,170000
C381,B754,True,C381,Alanis Morissette,Ironic,,,2013,238634,B754,Pinky Dread,Ironic,Sunset Vibes,notExplicit,2021,213000
C31,B755,True,C31,The Cranberries,Zombie,,,2007,307400,B755,Stoneman,Zombie,Belgiumaïca,notExplicit,2022,236000
C29301,B759,True,C29301,Scooter,Take a Break,,,2003,255600,B759,Chakra Meditation Specialists,Take a Break,Buddhist Meditation Masterpieces,notExplicit,2020,111000
C139,B761,True,C139,The Beatles,Let It Be,,,2012,236133,B761,The Hoppers,Let It Be,Let It Be,notExplicit,2021,219000
