source_id,opendb_id,source_artist,source_track,opendb_artist,opendb_track,source_combined,opendb_combined,similarity_score,match_classification
C24557,B77293,Municipal Waste,Wolves of Chernobyl,Musica Relajante,Spirit Awakening,municipal waste wolves of chernobyl 2009,musica relajante spirit awakening 2019,0.375,-1
C49555,B11580,Xavier Rudd,Set It Up,Xavier Rudd,Shiver,xavier rudd set it up 2007,xavier rudd shiver 2008,0.692,0
C31772,B88256,The Replacements,Answering Machine,The Replacements,Answering Machine,the replacements answering machine 1984,the replacements answering machine 2015,0.897,1
C8597,B8985,Daughtry,What About Now,Dave McKenna,You're Lucky To Me,daughtry what about now 2006,dave mckenna you're lucky to me 2002,0.278,-1
C692,B69477,Red Hot Chili Peppers,Easily,Red Hot Chili Peppers,Me And My Friends,red hot chili peppers easily 1999,red hot chili peppers me and my friends 1992,0.659,0
C9006,B83431,Miles Davis,Rocker,Miles Davis,Django,miles davis rocker 2013,miles davis django 2019,0.696,0
C50115,B90002,Commodores,Just To Be Close To You,Conjunto Tropical Mar Azul,Amelia,commodores just to be close to you 2006,conjunto tropical mar azul amelia 2017,0.179,-1
C49888,B49257,Frank Sinatra,Spring Is Here,Frank Sinatra,Silent Night,frank sinatra spring is here 2013,frank sinatra silent night 2019,0.667,0
C38155,B17052,Future Leaders of the World,Let Me Out,Future Leaders of the World,Let Me Out,future leaders of the world let me out 2004,future leaders of the world let me out 2004,1.0,1
C49447,B20100,Delta Goodrem,Angels In The Room,Deion Sanders Jr,Let Me,delta goodrem angels in the room 2007,deion sanders jr let me 2021,0.351,-1
C31772,B17165,The Replacements,Answering Machine,The Seventh Season,Broken Artist,the replacements answering machine 1984,the seventh season broken artist 2007,0.282,-1
C1418,B74952,Paramore,We Are Broken,Paul van Dyk,This Is Reality (VONYC Sessions 847),paramore we are broken 2007,paul van dyk this is reality (vonyc sessions 847) 2023,0.259,-1
C13299,B48813,The Libertines,What a Waster,The Impressions,I Need You,the libertines what a waster 2007,the impressions i need you 1976,0.273,-1
C49974,B54944,Cadacross,Wreath Of Seven Stars,Café du Soleil,Guitarras (Soothing Music),cadacross wreath of seven stars 2002,café du soleil guitarras (soothing music) 2016,0.261,-1
C23794,B15891,Chris Cornell,When I'm Down,Chris Cornell,When I'm Down,chris cornell when i'm down 1999,chris cornell when i'm down 1999,1.0,1
C42717,B90692,Black Label Society,Parade Of The Dead,Black Label Society,Parade Of The Dead,black label society parade of the dead 2010,black label society parade of the dead 2010,1.0,1
C19894,B93315,Manowar,Outlaw,Manowar,Outlaw,manowar outlaw 1996,manowar outlaw 1996,1.0,1
C9822,B51900,Steely Dan,East St. Louis Toodle-Oo,Study Music For Focus,Guitar Reading Music,steely dan east st. louis toodle-oo 1985,study music for focus guitar reading music 2021,0.191,-1
C27917,B74887,Kindness,That's Alright,Kindness,That's Alright,kindness that's alright 2012,kindness that's alright 2012,1.0,1
C9157,B75710,Chet Baker,It's Always You,Chosen Few,I Move Heaven & Hell (Disillusion Mix),chet baker it's always you 2013,chosen few i move heaven & hell (disillusion mix) 2008,0.241,-1
C7628,B45055,Anthrax,Indians,Anthrax,Indians,anthrax indians 2001,anthrax indians 2001,1.0,1
C1852,B27445,The Smiths,Asleep,The Spencers,Coming Soon,the smiths asleep 1987,the spencers coming soon 1991,0.345,-1
C12345,B53435,Johnny Cash,I Walk the Line,Johnny Cash,I Walk The Line,johnny cash i walk the line 2007,johnny cash i walk the line 2007,1.0,1
C29970,B75316,Mew,Hawaii Dream,Melba Moore,Praise Yah!,mew hawaii dream 2009,melba moore praise yah! 2019,0.357,-1
C32320,B8206,The Faint,Casual Sex,The Fray,"How to Save a Life (Acoustic Live at Q101, Chicago, IL - 2006)",the faint casual sex 1999,"the fray how to save a life (acoustic live at q101, chicago, il - 2006) 2006",0.211,-1
C46373,B80056,The Suicide Machines,Bottomed Out,The Staple Singers,Who Do You Think You Are? (Jesus Christ The Super Star),the suicide machines bottomed out 2005,the staple singers who do you think you are? (jesus christ the super star) 2020,0.266,-1
C17776,B33554,Madonna,You'll See,MAKHABACITY,One of my best,madonna you'll see 1995,makhabacity one of my best 2024,0.258,-1
C3195,B69217,Beck,Emergency Exit,Benoit Delbecq 4,"Springs (feat. Mark Turner, John Hébert & Gerald Cleaver)",beck emergency exit 2005,"benoit delbecq 4 springs (feat. mark turner, john hébert & gerald cleaver) 2018",0.19,-1
C23782,B16129,Michael Kiwanuka,Always Waiting,Michael Andrews,Heaven In Five,michael kiwanuka always waiting 2012,michael andrews heaven in five 2005,0.389,-1
C12598,B60801,Joseph Arthur,In The Sun,Jon Puda,Pjanoo (Stretched Out Radio Edit),joseph arthur in the sun 2000,jon puda pjanoo (stretched out radio edit) 2022,0.298,-1
C2708,B36284,Zero 7,I Have Seen,Zero 7,I Have Seen,zero 7 i have seen 2010,zero 7 i have seen 2006,0.913,1
C46420,B25002,The Ataris,Neilhouse,The Town & Countrymen,Let Me Love You Just A Little,the ataris neilhouse 1997,the town & countrymen let me love you just a little 2019,0.232,-1
C32357,B47902,The xx,I Dare You,The Sunburst Band,Garden of Love (Dam Swindle Remix),the xx i dare you 2017,the sunburst band garden of love (dam swindle remix) 2022,0.246,-1
C17430,B869,The Jesus and Mary Chain,Inside Me,The Dubliners,Jar of Porter (Live),the jesus and mary chain inside me 1985,the dubliners jar of porter (live) 2008,0.231,-1
C9006,B49400,Miles Davis,Rocker,Mitch DB,Flowers,miles davis rocker 2013,mitch db flowers 2023,0.435,-1
C19875,B81059,Skid Row,Livin' on a Chain Gang,Skid Row,Livin' on a Chain Gang,skid row livin' on a chain gang 1991,skid row livin' on a chain gang 1991,1.0,1
C32357,B941,The xx,I Dare You,The Rhythm Aces,When I Get This Feeling,the xx i dare you 2017,the rhythm aces when i get this feeling 2012,0.273,-1
C19518,B36236,Godsmack,The Awakening,Go Fish,O Holy Night (More Than A Story Album Version),godsmack the awakening 2003,go fish o holy night (more than a story album version) 2001,0.288,-1
C9910,B57888,Lana Del Rey,Season of the Witch,Laci Kaye Booth,On The Fence,lana del rey season of the witch 2019,laci kaye booth on the fence 2021,0.432,-1
C17421,B50398,Echo & the Bunnymen,Rescue,Echo & the Bunnymen,Rescue,echo & the bunnymen rescue 2006,echo & the bunnymen rescue 2006,1.0,1
C13806,B41534,Minor Threat,Out of Step,Minor Threat,Out Of Step,minor threat out of step 1983,minor threat out of step 1983,1.0,1
C17776,B43042,Madonna,You'll See,Maddie Rey,To the Sky,madonna you'll see 1995,maddie rey to the sky 2015,0.346,-1
C36399,B63670,Midlake,In The Ground,Mighty Duke,Please Explain,midlake in the ground 2010,mighty duke please explain 2009,0.323,-1
C33027,B12292,Blake Shelton,Ol' Red,BLIXX 86,On the Run Again,blake shelton ol' red 2010,blixx 86 on the run again 2022,0.3,-1
C24268,B96985,The Sword,Lament for the Aurochs,The Sword,Lament for the Aurochs,the sword lament for the aurochs 2006,the sword lament for the aurochs 2006,1.0,1
C17430,B81279,The Jesus and Mary Chain,Inside Me,The Christmas Jazz Giants,Joy to the World,the jesus and mary chain inside me 1985,the christmas jazz giants joy to the world 2022,0.277,-1
C40154,B50860,Ari Koivunen,Heartstealer,Ari Koivunen,Father,ari koivunen heartstealer 2007,ari koivunen father 2008,0.7,0
C47998,B43295,This Providence,Losing Control,The Filaments,All We've Ever Known,this providence losing control 2006,the filaments all we've ever known 2018,0.256,-1
C3195,B44075,Beck,Emergency Exit,Beck,Emergency Exit,beck emergency exit 2005,beck emergency exit 2005,1.0,1
C21298,B25814,Sneaker Pimps,How Do,Sneaker Pimps,How Do,sneaker pimps how do 1996,sneaker pimps how do 1996,1.0,1
C2810,B64873,DJ Shadow,Mutual Slump,DJ Shadow,Mutual Slump,dj shadow mutual slump 1996,dj shadow mutual slump 1996,1.0,1
C8035,B55027,Marilyn Manson,Little Horn,Mandy Harvey,Ritual,marilyn manson little horn 1996,mandy harvey ritual 2022,0.29,-1
C32320,B29346,The Faint,Casual Sex,The Mammals,Coming Down off Summer (feat. Lindsay Lou),the faint casual sex 1999,the mammals coming down off summer (feat. lindsay lou) 2020,0.237,-1
C30025,B19457,The New Pornographers,Silver Jenny Dollar,The Little Roy & Lizzy Show,Let Me Go Wicked World,the new pornographers silver jenny dollar 2010,the little roy & lizzy show let me go wicked world 2022,0.291,-1
C8719,B68627,Frank Sinatra,Jingle Bells,Frank Sinatra,Spring Is Here,frank sinatra jingle bells 2013,frank sinatra spring is here 2015,0.667,0
C8113,B29095,Mastodon,Circle of Cysquatch,Magnum,Broken Promises,mastodon circle of cysquatch 2006,magnum broken promises 2012,0.273,-1
C17735,B46064,Bauhaus,Silent Hedges,Bauhaus,Silent Hedges,bauhaus silent hedges 1982,bauhaus silent hedges 1982,1.0,1
C15334,B95891,Ludovico Einaudi,Le Onde,Lucciago,Travis Scott Type Beat,ludovico einaudi le onde 1996,lucciago travis scott type beat 2019,0.25,-1
C9736,B22881,Joni Mitchell,Amelia,Jody Wisternoff,I Miss You (Mixed),joni mitchell amelia 1976,jody wisternoff i miss you (mixed) 2024,0.256,-1
C382,B39751,Paramore,That's What You Get,Pato Fu,Live and Let Die (Main Title -Cues),paramore that's what you get 2008,pato fu live and let die (main title -cues) 2019,0.271,-1
C20075,B14318,The Word Alive,How To Build An Empire,The Worship Crew,Heaven Fell Like Rain (When He Spoke),the word alive how to build an empire 2009,the worship crew heaven fell like rain (when he spoke) 2011,0.373,-1
C40468,B17665,Thurston Moore,Female Cop,The Aftons,Dakota,thurston moore female cop 1995,the aftons dakota 2018,0.233,-1
C32320,B55123,The Faint,Casual Sex,The Notorious B.I.G.,"Living the Life (feat. Bobby Valentino, Cheri Dennis, Faith Evans & Ludacris)",the faint casual sex 1999,"the notorious b.i.g. living the life (feat. bobby valentino, cheri dennis, faith evans & ludacris) 2005",0.146,-1
C43030,B17906,The Locust,Full Frontal Obscurity,The Moleni Brothers,Always There,the locust full frontal obscurity 2007,the moleni brothers always there 2005,0.368,-1
C16088,B83993,Danzig,Do You Wear The Mark,Daniel Hope,Geminiani: Concerto grosso No. 5 in G Minor - Arr. from Corelli's Sonata Op. 5 No. 5: III. Adagio,danzig do you wear the mark 1992,daniel hope geminiani: concerto grosso no. 5 in g minor - arr. from corelli's sonata op. 5 no. 5: iii. adagio 2020,0.158,-1
C17776,B70551,Madonna,You'll See,Marika Takeuchi,Spring Awakening,madonna you'll see 1995,marika takeuchi spring awakening 2013,0.216,-1
C21145,B36395,The Roots,Tunnel Vision,The City of Prague Philharmonic Orchestra,O Holy Night,the roots tunnel vision 2010,the city of prague philharmonic orchestra o holy night 2020,0.254,-1
C1852,B55603,The Smiths,Asleep,The Silhouettes Project,What U Need (feat. Purple Cloud),the smiths asleep 1987,the silhouettes project what u need (feat. purple cloud) 2020,0.213,-1
C29970,B56543,Mew,Hawaii Dream,Mew,Hawaii Dream,mew hawaii dream 2009,mew hawaii dream 2009,1.0,1
C35995,B84578,Elvis Presley,"I Want You, I Need You, I Love You",El Internacional Mar Azul,Coyoteando (En Vivo),"elvis presley i want you, i need you, i love you 2014",el internacional mar azul coyoteando (en vivo) 2018,0.302,-1
C28458,B70135,The Jam,Pretty Green,The Fisher Family,I'm Not Ashamed,the jam pretty green 1980,the fisher family i'm not ashamed 2024,0.263,-1
C5779,B75305,The Fray,Little House,The Lowkeys,Stolen Goods,the fray little house 2005,the lowkeys stolen goods 2020,0.448,-1
C8476,B32058,All That Remains,Chiron,Alela Diane,Crying Wolf,all that remains chiron 2008,alela diane crying wolf 2009,0.357,-1
C17421,B54225,Echo & the Bunnymen,Rescue,Echo & the Bunnymen,Ticket to Ride,echo & the bunnymen rescue 2006,echo & the bunnymen ticket to ride 2007,0.667,0
C5667,B50818,Tame Impala,Desire Be Desire Go,Tame Impala,Desire Be Desire Go,tame impala desire be desire go 2010,tame impala desire be desire go 2010,1.0,1
C36358,B25251,Temples,Test of Time,Teiva LC,I Loved You,temples test of time 2014,teiva lc i loved you 2012,0.28,-1
C21124,B34810,The Dramatics,In the Rain,The Dramatics,In The Rain,the dramatics in the rain 2010,the dramatics in the rain 2010,1.0,1
C7279,B21873,Taylor Swift,Better Than Revenge,Tantric Music,I Love You,taylor swift better than revenge 2010,tantric music i love you 2012,0.324,-1
C42717,B43928,Black Label Society,Parade Of The Dead,Black Label Society,Bridge Over Troubled Waters,black label society parade of the dead 2010,black label society bridge over troubled waters 2010,0.654,0
C17889,B80850,Tool,Pneuma,TOOL,Pneuma,tool pneuma 2019,tool pneuma 2019,1.0,1
C18373,B42361,Kate Bush,Rubberband Girl,Kareem Ali,Do The Right Thing,kate bush rubberband girl 2011,kareem ali do the right thing 2024,0.324,-1
C3497,B50480,The xx,Dangerous,The Seekers,Island of Dreams,the xx dangerous 2017,the seekers island of dreams 1968,0.303,-1
C39497,B36985,Doves,Winter Hill,Doves,Winter Hill,doves winter hill 2009,doves winter hill 2009,1.0,1
C40468,B55380,Thurston Moore,Female Cop,Thurston Moore,Female Cop,thurston moore female cop 1995,thurston moore female cop 1995,1.0,1
C35228,B11396,The Used,On The Cross,The Moffatts,We Are Young,the used on the cross 2009,the moffatts we are young 1998,0.3,-1
C13299,B3528,The Libertines,What a Waster,The Grodeck Whipperjenny,You're Too Young,the libertines what a waster 2007,the grodeck whipperjenny you're too young 2012,0.283,-1
C26508,B17865,Korn,I Will Protect You,Korn,I Will Protect You,korn i will protect you 2007,korn i will protect you 2023,0.929,1
C8719,B12402,Frank Sinatra,Jingle Bells,Frank Sinatra,Little Girl Blue,frank sinatra jingle bells 2013,frank sinatra little girl blue 2016,0.686,0
C13178,B82511,The Libertines,Death on the Stairs,Thomas Abban,Sinner,the libertines death on the stairs 2003,thomas abban sinner 2018,0.282,-1
C41625,B64267,Jane Monheit,Taking a Chance on Love,James Kaleth,Island Life,jane monheit taking a chance on love 2004,james kaleth island life 2008,0.39,-1
C13806,B5253,Minor Threat,Out of Step,Michael Prophet,What Is The Difference,minor threat out of step 1983,michael prophet what is the difference 2009,0.279,-1
C9653,B89234,Ella Fitzgerald,I Love Paris,Ella Fitzgerald,Volare,ella fitzgerald i love paris 2013,ella fitzgerald volare 2022,0.667,0
C21145,B81466,The Roots,Tunnel Vision,The Karaoke Channel,Boogie Woogie Bugle Boy [In the Style of Bette Midler] {Karaoke Lead Vocal Version},the roots tunnel vision 2010,the karaoke channel boogie woogie bugle boy [in the style of bette midler] {karaoke lead vocal version} 2011,0.213,-1
C42983,B14868,Cattle Decapitation,We Are Horrible People,Cattle Decapitation,We Are Horrible People,cattle decapitation we are horrible people 2009,cattle decapitation we are horrible people 2009,1.0,1
C9653,B31064,Ella Fitzgerald,I Love Paris,Ella Fitzgerald,Cry Me A River,ella fitzgerald i love paris 2013,ella fitzgerald cry me a river 2007,0.657,0
C241,B64043,Radiohead,Street Spirit (Fade Out),Rapsusklei,Please Officer (Badazz Remix) (feat. Hermano Ele),radiohead street spirit (fade out) 1996,rapsusklei please officer (badazz remix) (feat. hermano ele) 2011,0.277,-1
C24063,B91715,The Rolling Stones,Silver Train,The Joe Henderson Quintet,'Round Midnight (Live),the rolling stones silver train 1973,the joe henderson quintet 'round midnight (live) 1970,0.34,-1
C32357,B15536,The xx,I Dare You,The Hit Crew,London Bridge Is Falling Down,the xx i dare you 2017,the hit crew london bridge is falling down 2007,0.319,-1
C9736,B45476,Joni Mitchell,Amelia,Johan Söderqvist,In The Dunes,joni mitchell amelia 1976,johan söderqvist in the dunes 2009,0.176,-1
C7193,B31064,Ella Fitzgerald,Summertime,Ella Fitzgerald,Cry Me A River,ella fitzgerald summertime 2011,ella fitzgerald cry me a river 2007,0.657,0
C5722,B73568,James Blunt,Out of My Mind,Jarkko Martikainen ja Luotetut Miehet,S.O.S.,james blunt out of my mind 2004,jarkko martikainen ja luotetut miehet s.o.s. 2016,0.306,-1
C35382,B12687,Senses Fail,Yellow Angels,Senses Fail,Yellow Angels,senses fail yellow angels 2008,senses fail yellow angels 2008,1.0,1
C9653,B15635,Ella Fitzgerald,I Love Paris,Elvis Presley,Little Sister,ella fitzgerald i love paris 2013,elvis presley little sister 2006,0.273,-1
C13824,B26098,Hawthorne Heights,Silver Bullet,Harmonious Chorale Ghana,I Feel Like Spreading Flame Within My Veins (Live),hawthorne heights silver bullet 2004,harmonious chorale ghana i feel like spreading flame within my veins (live) 2020,0.25,-1
C20075,B60084,The Word Alive,How To Build An Empire,The Stupids,Middle Aged Punk (2014 Deluxe Edition Remaster),the word alive how to build an empire 2009,the stupids middle aged punk (2014 deluxe edition remaster) 2014,0.328,-1
C39952,B70817,The Mount Fuji Doomjazz Corporation,Castles By The Sea,ThukaDee,Do the same,the mount fuji doomjazz corporation castles by the sea 2009,thukadee do the same 2024,0.237,-1
C43986,B32690,Pati Yang,Summer Of Tears,Paul Weller,Broken Stones,pati yang summer of tears 2009,paul weller broken stones 1995,0.233,-1
C12345,B11003,Johnny Cash,I Walk the Line,Johnny Cash,I Want to Go Home,johnny cash i walk the line 2007,johnny cash i want to go home 2016,0.676,0
C17956,B29033,Coheed and Cambria,Mother Superior,Coheed And Cambria,Mother Superior,coheed and cambria mother superior 2007,coheed and cambria mother superior 2007,1.0,1
C44174,B53925,Danzig,Killer Wolf,Damien Dempsey,It's All Good (Live),danzig killer wolf 1990,damien dempsey it's all good (live) 2018,0.2,-1
C12598,B58749,Joseph Arthur,In The Sun,Johnny Costa,Debbie,joseph arthur in the sun 2000,johnny costa debbie 1991,0.207,-1
C12345,B51733,Johnny Cash,I Walk the Line,Johnny Cash,I Walk The Line (Live),johnny cash i walk the line 2007,johnny cash i walk the line (live) 2021,0.769,1
C38398,B2419,Matt Nathanson,Pretty The World,Majors for Minors,London Bridge Is Falling Down,matt nathanson pretty the world 2003,majors for minors london bridge is falling down 2014,0.288,-1
C44174,B60618,Danzig,Killer Wolf,Dave Webber & Anni Fentiman,Silvery Moon,danzig killer wolf 1990,dave webber & anni fentiman silvery moon 1998,0.333,-1
C7501,B29350,Rammstein,Ich tu dir weh,Rachel Brooke,I Miss It Like It's Gone,rammstein ich tu dir weh 2009,rachel brooke i miss it like it's gone 2020,0.279,-1
C16088,B66573,Danzig,Do You Wear The Mark,Dave Koz,It's Always Been You (Live),danzig do you wear the mark 1992,dave koz it's always been you (live) 2017,0.244,-1
C40468,B58146,Thurston Moore,Female Cop,The Band of Her Majesty's Royal Marines,Melody in A Major (Arr. J.P. Sousa for Wind Band),thurston moore female cop 1995,the band of her majesty's royal marines melody in a major (arr. j.p. sousa for wind band) 2022,0.17,-1
C9157,B57757,Chet Baker,It's Always You,Chet Baker,It's Always You,chet baker it's always you 2013,chet baker it's always you 2013,1.0,1
C6864,B34196,Tori Amos,Silent All These Years,Tori Amos,Silent All These Years (2006 Remaster),tori amos silent all these years 2012,tori amos silent all these years (2006 remaster) 2006,0.679,0
C36399,B81199,Midlake,In The Ground,Mike Campbell,My Old Friends,midlake in the ground 2010,mike campbell my old friends 2024,0.394,-1
C1852,B44269,The Smiths,Asleep,The Muses,Scream and Shout (Instrumental),the smiths asleep 1987,the muses scream and shout (instrumental) 2019,0.239,-1
C16815,B87565,Mat Kearney,Closer To Love,Manele VTM,Berlin (Acustic),mat kearney closer to love 2009,manele vtm berlin (acustic) 2024,0.219,-1
C14052,B3783,Doves,Caught By The River,Don McLean,Pretty Polly (Live),doves caught by the river 2010,don mclean pretty polly (live) 2016,0.371,-1
C28458,B59308,The Jam,Pretty Green,The Planet Smashers,Wish I Were American,the jam pretty green 1980,the planet smashers wish i were american 2000,0.311,-1
C32194,B38191,The Veronicas,This Is How It Feels,The Ventures,Cherry Pink,the veronicas this is how it feels 2007,the ventures cherry pink 2014,0.359,-1
C41625,B54664,Jane Monheit,Taking a Chance on Love,Jane Monheit,Taking a Chance on Love,jane monheit taking a chance on love 2004,jane monheit taking a chance on love 2004,1.0,1
C648,B16777,The Subways,Rock & Roll Queen,The Clash,Have and Have Nots,the subways rock & roll queen 2005,the clash have and have nots 1988,0.235,-1
C5779,B49555,The Fray,Little House,The Brothers Four,Silent Night,the fray little house 2005,the brothers four silent night 2015,0.371,-1
C4795,B17797,The Maine,I Must Be Dreaming,The Zutons,Always Right Behind You,the maine i must be dreaming 2008,the zutons always right behind you 2008,0.385,-1
C9242,B87211,Miles Davis,All of You,Midwest Milly,Rubber Band Man,miles davis all of you 2012,midwest milly rubber band man 2021,0.324,-1
C43030,B17665,The Locust,Full Frontal Obscurity,The Aftons,Dakota,the locust full frontal obscurity 2007,the aftons dakota 2018,0.316,-1
C35840,B37182,Black Sabbath,Shadow Of The Wind,Black Sabbath,Shadow of the Wind,black sabbath shadow of the wind 2007,black sabbath shadow of the wind 2007,1.0,1
C5975,B1497,She & Him,In the Sun,She & Him,In the Sun,she & him in the sun 2010,she & him in the sun 2010,1.0,1
C27917,B21742,Kindness,That's Alright,Kim Hye Yeon,I Love You,kindness that's alright 2012,kim hye yeon i love you 2006,0.214,-1
C35035,B61606,No Use for a Name,On The Outside,Nora Orlandi,Loaded Guns,no use for a name on the outside 2001,nora orlandi loaded guns 2009,0.405,-1
C29400,B2886,David Guetta,Like I Do,David Lynch,I Want You,david guetta like i do 2018,david lynch i want you 2013,0.444,-1
C46373,B72569,The Suicide Machines,Bottomed Out,The Suicide Machines,Bottomed Out,the suicide machines bottomed out 2005,the suicide machines bottomed out 2005,1.0,1
C1449,B26065,Avril Lavigne,Nobody's Home,Avril Lavigne,Nobody's Home,avril lavigne nobody's home 2004,avril lavigne nobody's home 2004,1.0,1
C41525,B70428,Leonard Cohen,Here It Is,Less Than Jake,That's Why They Call It a Union,leonard cohen here it is 2001,less than jake that's why they call it a union 2003,0.333,-1
C13299,B29895,The Libertines,What a Waster,The Marcus Hedges Trend Orchestra,"Beyond The Limit (From ""Dragon Ball Super"") [Orchestrated]",the libertines what a waster 2007,"the marcus hedges trend orchestra beyond the limit (from ""dragon ball super"") [orchestrated] 2020",0.227,-1
C4483,B54952,The Dresden Dolls,672,The Lads,Ode to Joy / I Give It All,the dresden dolls 672 2004,the lads ode to joy / i give it all 2008,0.35,-1
C13299,B89287,The Libertines,What a Waster,The Wiggles,Hooray for Teachers,the libertines what a waster 2007,the wiggles hooray for teachers 2022,0.389,-1
C31772,B19110,The Replacements,Answering Machine,The California Honeydrops,Cryin' Blues,the replacements answering machine 1984,the california honeydrops cryin' blues 2010,0.256,-1
C21367,B58951,Jem,It's Amazing,Jessica Victoria,Battle of the Grail (Part 1),jem it's amazing 2008,jessica victoria battle of the grail (part 1) 2020,0.22,-1
C692,B67451,Red Hot Chili Peppers,Easily,Red Hot Chili Peppers,Get Up And Jump (2002 Digital Remaster),red hot chili peppers easily 1999,red hot chili peppers get up and jump (2002 digital remaster) 1984,0.439,-1
C20075,B93327,The Word Alive,How To Build An Empire,The Hit Crew,Spiderman Theme,the word alive how to build an empire 2009,the hit crew spiderman theme 2008,0.381,-1
C43030,B59012,The Locust,Full Frontal Obscurity,The Highwaymen,Silver Stallion,the locust full frontal obscurity 2007,the highwaymen silver stallion 2008,0.289,-1
C29815,B62469,Tori Amos,Jackie's Strength,Tori Amos,Jackie's Strength,tori amos jackie's strength 2012,tori amos jackie's strength 2012,1.0,1
C29804,B20394,Ben Folds,Losing Lisa,Ben Webster,Bounce Blues,ben folds losing lisa 2001,ben webster bounce blues 1957,0.31,-1
C5366,B70599,Interpol,Who Do You Think,Interpol,Who Do You Think,interpol who do you think 2007,interpol who do you think 2007,1.0,1
C4483,B81328,The Dresden Dolls,672,The United States Coast Guard Band,Anchors Away,the dresden dolls 672 2004,the united states coast guard band anchors away 2007,0.308,-1
C3497,B16924,The xx,Dangerous,The Kingsman Quartet,Here I Stand Amazed,the xx dangerous 2017,the kingsman quartet here i stand amazed 2014,0.289,-1
C8719,B39282,Frank Sinatra,Jingle Bells,Frank Sinatra,Jingle Bells,frank sinatra jingle bells 2013,frank sinatra jingle bells 2014,0.968,1
