source_id,opendb_id,source_artist,source_track,opendb_artist,opendb_track,source_combined,opendb_combined,similarity_score,match_classification
A9118,B9356,The Beach Boys,"Dance, Dance, Dance",The Heads,Planet Suite,"the beach boys dance, dance, dance 1965",the heads planet suite 2018,0.359,-1
A5031,B83733,Martina McBride,I Just Call You Mine,Max Cooper,Cyclic (John Tejada Remix),martina mcbride i just call you mine 2009,max cooper cyclic (john tejada remix) 2017,0.238,-1
A1026,B20230,Ed Sheeran,Eraser,Ed Sheeran,Eraser,ed sheeran eraser 2017,ed sheeran eraser 2017,1.0,1
A9118,B2817,The Beach Boys,"Dance, Dance, Dance",Three for Silver,"I Know, I Know","the beach boys dance, dance, dance 1965","three for silver i know, i know 2015",0.308,-1
A9351,B72703,Mariah Carey,Vision of Love,Mark Winkler,Spring Can Really Hang You up the Most,mariah carey vision of love 1990,mark winkler spring can really hang you up the most 2018,0.286,-1
A5771,B23258,The Archies,"Sugar, Sugar",The Rain Within,Coming Down,"the archies sugar, sugar 1969",the rain within coming down 2021,0.25,-1
A8604,B87056,Fetty Wap,D.A.M.,Fetty Wap,Boomin,fetty wap d.a.m. 2015,fetty wap boomin 2015,0.714,0
A7819,B28576,LINKIN PARK,Figure.09,Lily Band Psalmist,Coming To The Throne,linkin park figure.09 2003,lily band psalmist coming to the throne 2021,0.295,-1
A4119,B45688,Childish Gambino,This Is America,Choicevaughan,Streetfighter III: New Generation,childish gambino this is america 2018,choicevaughan streetfighter iii: new generation 2020,0.308,-1
A5200,B42685,Madonna,Like a Prayer,Manticora,Winter Solstice,madonna like a prayer 1989,manticora winter solstice 2024,0.267,-1
A2751,B60371,Mariah Carey,Always Be My Baby,Madeline Juno,Please Don't Have Somebody Else,mariah carey always be my baby 1995,madeline juno please don't have somebody else 2016,0.26,-1
A3103,B22299,Jason Mraz,Coyotes,James Galway,I Just Called to Say I Love You,jason mraz coyotes 2008,james galway i just called to say i love you 1994,0.224,-1
A1894,B88535,Christina Aguilera,Dirrty (feat. Redman),Children's Music,Humpty Dumpty,christina aguilera dirrty (feat. redman) 2002,children's music humpty dumpty 2019,0.267,-1
A2219,B15525,Billy Joel,And So It Goes,Bill Hicks,You're in the Right Place,billy joel and so it goes 1989,bill hicks you're in the right place 2019,0.341,-1
A8194,B83843,America,Sister Golden Hair,America,Sister Golden Hair,america sister golden hair 1975,america sister golden hair 1975,1.0,1
A8584,B57595,Fetty Wap,D.A.M.,Felix da Housecat,Silver Screen (Shower Scene) [Club Mix],fetty wap d.a.m. 2015,felix da housecat silver screen (shower scene) [club mix] 2022,0.161,-1
A4425,B34884,Gabby Barrett,The Good Ones,Gabby Barrett,The Good Ones,gabby barrett the good ones 2020,gabby barrett the good ones 2020,1.0,1
A7271,B8486,Blake Shelton,I Lived It,Blasphereion,Future Earth,blake shelton i lived it 2017,blasphereion future earth 2016,0.4,-1
A3177,B48634,Rednex,Cotton Eye Joe,RECKLESS ONES,Desert Rose,rednex cotton eye joe 1994,reckless ones desert rose 2013,0.333,-1
A2753,B2687,Marc Anthony,I Need to Know,Matt Caldwell,I Know Mexico,marc anthony i need to know 1999,matt caldwell i know mexico 2012,0.281,-1
A4819,B67244,Paramore,Future,Papoose,I'm Not Impressed,paramore future 2013,papoose i'm not impressed 2005,0.333,-1
A2219,B69244,Billy Joel,And So It Goes,Billionaire Black,Add It Up (feat. Jimbo Go Dumb),billy joel and so it goes 1989,billionaire black add it up (feat. jimbo go dumb) 2014,0.296,-1
A6313,B50883,TOOL,Pneuma,Tommy Riccio,Angelaro',tool pneuma 2019,tommy riccio angelaro' 2018,0.333,-1
A3963,B87459,Percy Sledge,When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman,percy sledge when a man loves a woman 1966,percy sledge when a man loves a woman 1966,1.0,1
A1478,B37622,Carrie Underwood,Little Toy Guns,Carrie Underwood,Silent Night,carrie underwood little toy guns 2014,carrie underwood silent night 2020,0.676,0
A3740,B68063,Daughtry,What About Now,David Wilson,Autumn Leaves,daughtry what about now 2006,david wilson autumn leaves 1998,0.194,-1
A4479,B93858,Chicago,We Can Last Forever,Charlie Bustos,Israel,chicago we can last forever 1988,charlie bustos israel 2008,0.344,-1
A5810,B37279,The Archies,"Sugar, Sugar",The Kinks,What's in Store for Me,"the archies sugar, sugar 1969",the kinks what's in store for me 2016,0.27,-1
A4654,B55400,Michelle Branch,Breathe,Michael Jackson,Twenty Five Miles (1987 Remix),michelle branch breathe 2003,michael jackson twenty five miles (1987 remix) 1987,0.235,-1
A5810,B42981,The Archies,"Sugar, Sugar",The Bilge Pumps,Pirate Yells,"the archies sugar, sugar 1969",the bilge pumps pirate yells 2010,0.273,-1
A2287,B3535,Nickelback,Follow You Home,Nitrate,In the Night,nickelback follow you home 2005,nitrate in the night 2019,0.29,-1
A9151,B36201,Santigold,Unstoppable,Salesian Music Ministry,I Need a Mother,santigold unstoppable 2008,salesian music ministry i need a mother 2020,0.273,-1
A8216,B83843,America,Sister Golden Hair,America,Sister Golden Hair,america sister golden hair 1975,america sister golden hair 1975,1.0,1
A4287,B93603,Alan Jackson,Little Bitty,Alabama 3,Get On This One,alan jackson little bitty 1996,alabama 3 get on this one 2023,0.2,-1
A2185,B59500,Billy Joel,And So It Goes,Billy Valentine,On The Street Where You Live,billy joel and so it goes 1989,billy valentine on the street where you live 2006,0.306,-1
A1966,B53925,Daryl Hall & John Oates,Out of Touch,Damien Dempsey,It's All Good (Live),daryl hall & john oates out of touch 1984,damien dempsey it's all good (live) 2018,0.195,-1
A5954,B68061,Camila Cabello,Crying in the Club,Carlos Murillo,Misterio De Amor,camila cabello crying in the club 2017,carlos murillo misterio de amor 1998,0.316,-1
A2920,B92745,Stone Sour,Bother,Stephan Micus,A Song For Zeus,stone sour bother 2002,stephan micus a song for zeus 2023,0.353,-1
A2185,B14037,Billy Joel,And So It Goes,Big Black Delta,Sunday,billy joel and so it goes 1989,big black delta sunday 2020,0.2,-1
A5954,B49047,Camila Cabello,Crying in the Club,Cafe De Anatolia,Desert Groove,camila cabello crying in the club 2017,cafe de anatolia desert groove 2024,0.237,-1
A2753,B40780,Marc Anthony,I Need to Know,Martin Luther King Jr.,I Have Been To The Mountaintop ringtone,marc anthony i need to know 1999,martin luther king jr. i have been to the mountaintop ringtone 2010,0.284,-1
A3678,B37621,Big Time Rush,Windows Down,Big H.A.W.K.,What's Happening (feat. Mr. 3-2 & Mafio),big time rush windows down 2012,big h.a.w.k. what's happening (feat. mr. 3-2 & mafio) 2003,0.224,-1
A54,B53668,Jason Derulo,Ridin' Solo,James Brown,I Walked Alone,jason derulo ridin' solo 2010,james brown i walked alone 2014,0.323,-1
A6944,B82619,Leona Lewis,Here I Am,Lefti,Spirits Up (Babert Italo Remix),leona lewis here i am 2007,lefti spirits up (babert italo remix) 2022,0.357,-1
A4654,B35763,Michelle Branch,Breathe,MIZERY,Piraterie (feat. Bad Shadow),michelle branch breathe 2003,mizery piraterie (feat. bad shadow) 2020,0.3,-1
A895,B82538,Madonna,Like a Prayer,Max Cooper,Autumn Haze,madonna like a prayer 1989,max cooper autumn haze 2012,0.222,-1
A5031,B90674,Martina McBride,I Just Call You Mine,Matthew McCarthy,Seeing Stars,martina mcbride i just call you mine 2009,matthew mccarthy seeing stars 2022,0.293,-1
A9351,B49599,Mariah Carey,Vision of Love,Matt Fax,Out Of Sight (Mixed),mariah carey vision of love 1990,matt fax out of sight (mixed) 2021,0.206,-1
A1250,B70888,Michael Jackson,Man In the Mirror,Milk Inc.,Livin' a Lie,michael jackson man in the mirror 1987,milk inc. livin' a lie 2001,0.263,-1
A2751,B16083,Mariah Carey,Always Be My Baby,Matthew Ifield,Heaven,mariah carey always be my baby 1995,matthew ifield heaven 2021,0.229,-1
A5031,B25718,Martina McBride,I Just Call You Mine,Magdalena Bay,Follow the Leader,martina mcbride i just call you mine 2009,magdalena bay follow the leader 2022,0.244,-1
A4287,B45169,Alan Jackson,Little Bitty,Al Grey,Bluish Grey,alan jackson little bitty 1996,al grey bluish grey 2011,0.233,-1
A1026,B18675,Ed Sheeran,Eraser,Edith Imonikhe,Dangerous Type,ed sheeran eraser 2017,edith imonikhe dangerous type 2023,0.382,-1
A5390,B74331,Cole Swindell,Get Up,Country Nation,That's My Kind of Night (Instrumental Version),cole swindell get up 2014,country nation that's my kind of night (instrumental version) 2013,0.242,-1
A80,B26020,Michael Jackson,Man In the Mirror,Michele Chiavarini,I'm So Alive (Michele Chiavarini Remix Instrumental) (feat. Cheryl Porter),michael jackson man in the mirror 1987,michele chiavarini i'm so alive (michele chiavarini remix instrumental) (feat. cheryl porter) 2017,0.255,-1
A609,B73345,Rodney Atkins,Take a Back Road,Rodney Atkins,Take A Back Road,rodney atkins take a back road 2011,rodney atkins take a back road 2011,1.0,1
A6165,B5424,Kenny Chesney,What I Need to Do,Kenny Chesney,What I Need to Do,kenny chesney what i need to do 1999,kenny chesney what i need to do 2000,0.889,1
A1894,B14451,Christina Aguilera,Dirrty (feat. Redman),Choi Yu Ree,Like a Dream,christina aguilera dirrty (feat. redman) 2002,choi yu ree like a dream 2023,0.356,-1
A5623,B27894,Bullet for My Valentine,Hearts Burst Into Fire,Bunny Sigler,Follow Your Heart,bullet for my valentine hearts burst into fire 2008,bunny sigler follow your heart 1967,0.216,-1
A6059,B59331,Madonna,Frozen,Marianne Faithfull,Ode to a Nightingale,madonna frozen 1998,marianne faithfull ode to a nightingale 2021,0.227,-1
A1966,B89892,Daryl Hall & John Oates,Out of Touch,Dana,Victims Of Hardstyle (Greco Di Tufo Mix),daryl hall & john oates out of touch 1984,dana victims of hardstyle (greco di tufo mix) 2003,0.22,-1
A2287,B21912,Nickelback,Follow You Home,Nickelback,Follow You Home,nickelback follow you home 2005,nickelback follow you home 2005,1.0,1
A6948,B76174,Michelle Branch,Breathe,Miles Davis,Spring Is Here,michelle branch breathe 2003,miles davis spring is here 2012,0.29,-1
A1478,B82659,Carrie Underwood,Little Toy Guns,Cary Brothers,Honestly (EP Mix),carrie underwood little toy guns 2014,cary brothers honestly (ep mix) 2004,0.351,-1
A5031,B64867,Martina McBride,I Just Call You Mine,Max Cruise,Memory of You (feat. The Motion Epic & Sparkee),martina mcbride i just call you mine 2009,max cruise memory of you (feat. the motion epic & sparkee) 2022,0.286,-1
A8194,B45681,America,Sister Golden Hair,Amy Schumer,Garden Gnome (Live),america sister golden hair 1975,amy schumer garden gnome (live) 2016,0.278,-1
A6059,B84275,Madonna,Frozen,Mari Wilson,Anyone Who Had a Heart,madonna frozen 1998,mari wilson anyone who had a heart 2016,0.231,-1
A6734,B2184,Panic! At the Disco,One of the Drunks,Patsy Cline,Just a Closer Walk with Thee,panic! at the disco one of the drunks 2018,patsy cline just a closer walk with thee 2013,0.289,-1
A9859,B8163,Young the Giant,Islands,Young Earth Sauce,Better (feat. Gud Griff),young the giant islands 2010,young earth sauce better (feat. gud griff) 2022,0.34,-1
A5810,B27051,The Archies,"Sugar, Sugar",The Blind Shake,Broken Racehorse,"the archies sugar, sugar 1969",the blind shake broken racehorse 2016,0.243,-1
A1678,B92459,Toby Keith,Wish I Didn't Know Now,Tony Rice,Stoney Creek,toby keith wish i didn't know now 1993,tony rice stoney creek 1977,0.316,-1
A3740,B89789,Daughtry,What About Now,Daughtry,What About Now,daughtry what about now 2006,daughtry what about now 2006,1.0,1
A1079,B79381,New Boyz,Better With the Lights Off (feat. Chris Brown),Neon Hunk,That's Not Gums,new boyz better with the lights off (feat. chris brown) 2011,neon hunk that's not gums 2003,0.267,-1
A3740,B54220,Daughtry,What About Now,Daphne Rubin-Vega,Change (Fathers Of Sound Sunset Vocal Mix),daughtry what about now 2006,daphne rubin-vega change (fathers of sound sunset vocal mix) 2023,0.262,-1
A6948,B34692,Michelle Branch,Breathe,Michelle Branch,One of These Days,michelle branch breathe 2003,michelle branch one of these days 2003,0.658,0
A8194,B67506,America,Sister Golden Hair,Amy Rigby,That's the Time,america sister golden hair 1975,amy rigby that's the time 2005,0.29,-1
A7794,B17923,LINKIN PARK,Figure.09,Linkin Park,Numb / Encore,linkin park figure.09 2003,linkin park numb / encore 2004,0.567,-1
A5031,B16083,Martina McBride,I Just Call You Mine,Matthew Ifield,Heaven,martina mcbride i just call you mine 2009,matthew ifield heaven 2021,0.293,-1
A9118,B57449,The Beach Boys,"Dance, Dance, Dance",The Goo Goo Dolls,Listen (Live),"the beach boys dance, dance, dance 1965",the goo goo dolls listen (live) 2021,0.308,-1
A5031,B96717,Martina McBride,I Just Call You Mine,Marimba Alma Lira la Internacional,Triste Corazon (En vivo),martina mcbride i just call you mine 2009,marimba alma lira la internacional triste corazon (en vivo) 2023,0.344,-1
A3103,B296,Jason Mraz,Coyotes,Jamie Lewis,Tattoo Woman (Sex on the Beach Mix),jason mraz coyotes 2008,jamie lewis tattoo woman (sex on the beach mix) 2008,0.288,-1
A9351,B25512,Mariah Carey,Vision of Love,Maickel Telussa & Patrick Tijssen,I Love House,mariah carey vision of love 1990,maickel telussa & patrick tijssen i love house 2024,0.333,-1
A9501,B15146,Jeremy Soule,Dragonborn,Jeff Richardson,Lonely Soul,jeremy soule dragonborn 2011,jeff richardson lonely soul 2017,0.281,-1
A5810,B46074,The Archies,"Sugar, Sugar",The Go Gos,At the Beach,"the archies sugar, sugar 1969",the go gos at the beach 1964,0.379,-1
A1547,B45729,David Guetta,Dangerous (feat. Sam Martin),Dani Zavera,Clouds,david guetta dangerous (feat. sam martin) 2014,dani zavera clouds 2022,0.261,-1
A4315,B21472,Sia,Reaper,Sisters Doll,I Love Barbie,sia reaper 2016,sisters doll i love barbie 2012,0.29,-1
A7128,B44089,David Bowie,Modern Love,David Bowie,Sorrow,david bowie modern love 1983,david bowie sorrow 1973,0.679,0
A7128,B74400,David Bowie,Modern Love,DaGamba,Spring,david bowie modern love 1983,dagamba spring 2016,0.214,-1
A9714,B18877,Bring Me The Horizon,Doomed,Brenda Lee,I'm Sorry,bring me the horizon doomed 2015,brenda lee i'm sorry 2024,0.375,-1
A9118,B66500,The Beach Boys,"Dance, Dance, Dance",The Godfathers,Unreal World,"the beach boys dance, dance, dance 1965",the godfathers unreal world 1991,0.333,-1
A5771,B76874,The Archies,"Sugar, Sugar",The Wild Feathers,Top of the World,"the archies sugar, sugar 1969",the wild feathers top of the world 2021,0.256,-1
A5411,B91938,Cole Swindell,Get Up,Conway Twitty,You'll Never Walk Alone,cole swindell get up 2014,conway twitty you'll never walk alone 2014,0.357,-1
A9351,B2327,Mariah Carey,Vision of Love,Mahalia Jackson,In the Upper Room,mariah carey vision of love 1990,mahalia jackson in the upper room 1995,0.342,-1
A4130,B94454,Bring Me The Horizon,Throne,Bring Me the Horizon,Doomed,bring me the horizon throne 2015,bring me the horizon doomed 2015,0.844,1
A6286,B28281,Newcleus,Jam On It,Nemo Schiffman,I Miss You,newcleus jam on it 1984,nemo schiffman i miss you 2018,0.233,-1
A9118,B93679,The Beach Boys,"Dance, Dance, Dance",The Highwaymen,Loving Her Was Easier (Than Anything I'll Ever Do Again) [live],"the beach boys dance, dance, dance 1965",the highwaymen loving her was easier (than anything i'll ever do again) [live] 2021,0.253,-1
A5390,B71041,Cole Swindell,Get Up,Cole Swindell,Get Up,cole swindell get up 2014,cole swindell get up 2014,1.0,1
A5220,B19289,Madonna,Like a Prayer,Making Love Music Ensemble,Sexual Energy,madonna like a prayer 1989,making love music ensemble sexual energy 2017,0.244,-1
A9714,B55305,Bring Me The Horizon,Doomed,Brent Wood,Direct to Toronto,bring me the horizon doomed 2015,brent wood direct to toronto 2022,0.303,-1
A6734,B35951,Panic! At the Disco,One of the Drunks,Panic! At The Disco,One of the Drunks,panic! at the disco one of the drunks 2018,panic! at the disco one of the drunks 2018,1.0,1
A2920,B43816,Stone Sour,Bother,Steve Yoo,Hidden (Hymn),stone sour bother 2002,steve yoo hidden (hymn) 2001,0.357,-1
A9041,B79828,Bread,Sweet Surrender,Bryan Austin,That's What She Said,bread sweet surrender 1972,bryan austin that's what she said 2017,0.263,-1
A3737,B56673,Daryl Hall & John Oates,Did It In a Minute,Dan Musselman,Listening To My Creator,daryl hall & john oates did it in a minute 1981,dan musselman listening to my creator 2022,0.213,-1
A2055,B84855,America,Sister Golden Hair,America,Sister Golden Hair,america sister golden hair 1975,america sister golden hair 2017,0.871,1
A5771,B58097,The Archies,"Sugar, Sugar",The Mills Brothers,I Heard,"the archies sugar, sugar 1969",the mills brothers i heard 2023,0.29,-1
A2312,B93978,Vampire Weekend,Giving Up the Gun,Valentino,Mellow Dancer,vampire weekend giving up the gun 2010,valentino mellow dancer 2018,0.289,-1
A5200,B94433,Madonna,Like a Prayer,Marika Takeuchi,Missing Link,madonna like a prayer 1989,marika takeuchi missing link 2022,0.212,-1
A80,B16070,Michael Jackson,Man In the Mirror,MIDIFine Systems,Africa ((Originally Performed by Toto) [Karaoke Version]),michael jackson man in the mirror 1987,midifine systems africa ((originally performed by toto) [karaoke version]) 2010,0.215,-1
A5200,B82041,Madonna,Like a Prayer,Matt Kennon,That's Love,madonna like a prayer 1989,matt kennon that's love 2015,0.214,-1
A5031,B61997,Martina McBride,I Just Call You Mine,Mansion Accompaniment Tracks,Please Forgive Me (Vocal Demonstration),martina mcbride i just call you mine 2009,mansion accompaniment tracks please forgive me (vocal demonstration) 2009,0.315,-1
A4060,B31531,Jana Kramer,Why Ya Wanna,Jazzy Coffee,Always Happy,jana kramer why ya wanna 2012,jazzy coffee always happy 2022,0.4,-1
A9118,B74259,The Beach Boys,"Dance, Dance, Dance",Tha Voice,Do the Same (feat. Trump da Don),"the beach boys dance, dance, dance 1965",tha voice do the same (feat. trump da don) 2014,0.277,-1
A8363,B8099,Keith Urban,Coming Home (feat. Julia Michaels),Ketty Lester,When I Fall in Love,keith urban coming home (feat. julia michaels) 2018,ketty lester when i fall in love 2023,0.314,-1
A5810,B41415,The Archies,"Sugar, Sugar",The Dön Beatz,Indian type beat (kanpatti),"the archies sugar, sugar 1969",the dön beatz indian type beat (kanpatti) 2022,0.217,-1
A2751,B35653,Mariah Carey,Always Be My Baby,Mark Tremonti,Jingle Bells,mariah carey always be my baby 1995,mark tremonti jingle bells 2023,0.229,-1
A5771,B58718,The Archies,"Sugar, Sugar",The Hit Crew,Ghosts And Spirits,"the archies sugar, sugar 1969",the hit crew ghosts and spirits 2007,0.306,-1
A7037,B14240,Blackmill,Let It Be (feat. Veela),Blaze of Perdition,Dreams Shall Flesh,blackmill let it be (feat. veela) 2011,blaze of perdition dreams shall flesh 2015,0.357,-1
A4119,B24537,Childish Gambino,This Is America,Chinem O Safadim,I Love you Cowboy,childish gambino this is america 2018,chinem o safadim i love you cowboy 2023,0.282,-1
A4819,B76318,Paramore,Future,Panorama Panama Town,Top of the Head,paramore future 2013,panorama panama town top of the head 2019,0.341,-1
A2920,B34475,Stone Sour,Bother,Strange Talk,The Good Days,stone sour bother 2002,strange talk the good days 2021,0.323,-1
A4654,B82209,Michelle Branch,Breathe,Michelle Branch,You’re Good,michelle branch breathe 2003,michelle branch you’re good 2017,0.656,0
A5771,B43985,The Archies,"Sugar, Sugar",The Fizz,Winter Wonderland,"the archies sugar, sugar 1969",the fizz winter wonderland 2018,0.194,-1
A3177,B2017,Rednex,Cotton Eye Joe,Rev. James Cleveland and the Southern California Community Choir,If You Believe (Faith Will Conquer Everything) (feat. The New Jersey Mass Choir),rednex cotton eye joe 1994,rev. james cleveland and the southern california community choir if you believe (faith will conquer everything) (feat. the new jersey mass choir) 1982,0.147,-1
A4315,B11187,Sia,Reaper,Sister Rosetta Tharpe,Take a New Look,sia reaper 2016,sister rosetta tharpe take a new look 2015,0.286,-1
A7239,B7104,Mariah Carey,Vision of Love,Manga Saint Hilare,All My Sins,mariah carey vision of love 1990,manga saint hilare all my sins 2022,0.257,-1
A4479,B37894,Chicago,We Can Last Forever,Christmas Songs Remix,Winter Holiday Ambient Noises for Total Relax pt. 2,chicago we can last forever 1988,christmas songs remix winter holiday ambient noises for total relax pt. 2 2021,0.244,-1
A3963,B94752,Percy Sledge,When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman,percy sledge when a man loves a woman 1966,percy sledge when a man loves a woman 2016,0.929,1
A9275,B99522,Lin-Manuel Miranda,Almost Like Praying (feat. Artists for Puerto Rico),Live,Like A Soldier,lin-manuel miranda almost like praying (feat. artists for puerto rico) 2017,live like a soldier 2001,0.24,-1
A9118,B63369,The Beach Boys,"Dance, Dance, Dance",The Damned,Trojans,"the beach boys dance, dance, dance 1965",the damned trojans 1985,0.359,-1
A9714,B95732,Bring Me The Horizon,Doomed,Brenda Lee,Around the World,bring me the horizon doomed 2015,brenda lee around the world 2024,0.312,-1
A5535,B8031,"Tyler, The Creator",Tamale,"Tyler, The Creator",Golden,"tyler, the creator tamale 2013","tyler, the creator golden 2011",0.767,1
A5200,B65986,Madonna,Like a Prayer,Marcel Dettmann,Skyway (Marcel Dettmann Remix) (mixed),madonna like a prayer 1989,marcel dettmann skyway (marcel dettmann remix) (mixed) 2016,0.22,-1
A9606,B8994,Sia,You're Never Fully Dressed Without a Smile (2014 Film Version),Sia,You're Never Fully Dressed Without a Smile (2014 Film Version),sia you're never fully dressed without a smile (2014 film version) 2014,sia you're never fully dressed without a smile (2014 film version) 2014,1.0,1
A609,B3856,Rodney Atkins,Take a Back Road,Roland Cedermark,Let It Be Me (Je t'appartiens),rodney atkins take a back road 2011,roland cedermark let it be me (je t'appartiens) 2006,0.308,-1
A4800,B37109,Paramore,Future,Paul McCartney,Really Love You (04 Summer Tour Remix),paramore future 2013,paul mccartney really love you (04 summer tour remix) 2005,0.259,-1
A5031,B95571,Martina McBride,I Just Call You Mine,Manu Victoria,Lamento Boliviano (Guaracha Mix),martina mcbride i just call you mine 2009,manu victoria lamento boliviano (guaracha mix) 2020,0.294,-1
A9118,B48662,The Beach Boys,"Dance, Dance, Dance",The Belle Stars,Indian Summer,"the beach boys dance, dance, dance 1965",the belle stars indian summer 2004,0.333,-1
A7239,B94806,Mariah Carey,Vision of Love,Marz Funk Band,Hooked On That Lovin Thang,mariah carey vision of love 1990,marz funk band hooked on that lovin thang 2022,0.304,-1
A5810,B30894,The Archies,"Sugar, Sugar",The Veer Union,I Will Make It Out (Acoustic),"the archies sugar, sugar 1969",the veer union i will make it out (acoustic) 2022,0.245,-1
A3177,B52269,Rednex,Cotton Eye Joe,Rebecca Y. Yoo,Changements (vol.3),rednex cotton eye joe 1994,rebecca y. yoo changements (vol.3) 2022,0.256,-1
A3806,B67744,Billy Idol,Rebel Yell,Big Chief Juan Pardo & Golden Comanche's,Looking for Mardi Gras,billy idol rebel yell 1983,big chief juan pardo & golden comanche's looking for mardi gras 2015,0.162,-1
